competitor,platform,service,qty,price,currency,price_eur,unit_price_eur_per_1k,product_name,url
insfamous.co,instagram,followers,,3.49,USD,3,,"Instagram - Post / Reels - Comments No. of Followers: 5","https://insfamous.co/product/post-reels-comments/"
insfamous.co,instagram,followers,10,6.5,USD,5.58,558,"Instagram - Post / Reels - Comments No. of Followers: 10","https://insfamous.co/product/post-reels-comments/"
insfamous.co,instagram,followers,25,15,USD,12.88,515.2,"Instagram - Post / Reels - Comments No. of Followers: 25","https://insfamous.co/product/post-reels-comments/"
insfamous.co,instagram,followers,50,3.99,USD,3.43,68.6,"Instagram - Post / Reels – VIP Likes No. of Followers: 50","https://insfamous.co/product/post-reels-vip-likes/"
insfamous.co,instagram,followers,50,3.99,USD,3.43,68.6,"Instagram - Profile - VIP Followers No. of Followers: 50","https://insfamous.co/product/profile-premium-followers/"
insfamous.co,instagram,followers,50,1.13,USD,0.97,19.4,"Instagram - Post / Reels - Likes No. of Followers: 50","https://insfamous.co/product/post-reels-likes/"
insfamous.co,instagram,followers,50,27.5,USD,23.62,472.4,"Instagram - Post / Reels - Comments No. of Followers: 50","https://insfamous.co/product/post-reels-comments/"
insfamous.co,instagram,followers,50,2.38,USD,2.04,40.8,"Instagram - Profile - Followers No. of Followers: 50","https://insfamous.co/product/profile-followers/"
insfamous.co,instagram,followers,100,6.99,USD,6,60,"Instagram - Post / Reels – VIP Likes No. of Followers: 100","https://insfamous.co/product/post-reels-vip-likes/"
insfamous.co,instagram,followers,100,6.99,USD,6,60,"Instagram - Profile - VIP Followers No. of Followers: 100","https://insfamous.co/product/profile-premium-followers/"
insfamous.co,instagram,followers,100,2.13,USD,1.83,18.3,"Instagram - Post / Reels - Likes No. of Followers: 100","https://insfamous.co/product/post-reels-likes/"
insfamous.co,instagram,followers,100,0.63,USD,0.54,5.4,"Instagram - Post / Reels - Views No. of Followers: 100","https://insfamous.co/product/post-reels-views/"
insfamous.co,instagram,followers,100,2.49,USD,2.14,21.4,"Instagram - Post / Reels - Shares No. of Followers: 100","https://insfamous.co/product/post-reels-shares/"
insfamous.co,instagram,followers,100,52,USD,44.66,446.6,"Instagram - Post / Reels - Comments No. of Followers: 100","https://insfamous.co/product/post-reels-comments/"
insfamous.co,instagram,followers,100,0.57,USD,0.49,4.9,"Instagram - Post / Reels - Saves No. of Followers: 100","https://insfamous.co/product/post-reels-saves/"
insfamous.co,instagram,followers,100,3.44,USD,2.95,29.5,"Instagram - Profile - Followers No. of Followers: 100","https://insfamous.co/product/profile-followers/"
insfamous.co,instagram,followers,250,16.99,USD,14.59,58.36,"Instagram - Post / Reels – VIP Likes No. of Followers: 250","https://insfamous.co/product/post-reels-vip-likes/"
