Rapport d'insights sur les enchères
24 mai 2026 - 24 mai 2026
Domaine d'URL à afficher,Taux d'impressions,Taux de superposition,Taux de position supérieure,Taux d'impressions en haut de page,Taux d'impr. tout en haut de page,Avantage concurrentiel
socialelite.fr,"39,16%","35,97%","98,00%","93,33%","35,33%","23,50%"
social-flare.com,"10,70%","7,91%","81,82%","90,24%","17,07%","33,94%"
rehype.me,"49,35%","56,83%","81,01%","92,06%","42,33%","19,58%"
propulse.me,"12,53%","12,95%","72,22%","97,92%","14,58%","32,90%"
Vous,"36,29%", --, --,"59,71%","8,63%", --
folami.fr,"21,15%","28,78%","35,00%","62,96%","6,17%","32,64%"
lefollower.fr,"45,95%","54,68%","38,16%","60,80%","6,82%","28,72%"
insfamous.co,< 10 %,"4,32%","50,00%","73,53%","0,00%","35,51%"
tonpush.fr,"10,18%","12,23%","52,94%","66,67%","7,69%","33,94%"
deviral.fr,"14,36%","11,51%","100,00%","89,09%","25,45%","32,11%"
noniba.fr,"37,86%","43,88%","60,66%","81,38%","7,59%","26,63%"
followersgram.fr,"46,74%","37,41%","82,69%","88,27%","41,34%","25,07%"
