Rapport sur les mots clés pour le Réseau de Recherche
Toute la période
État des mots clés,Mot clé,Type de correspondance,État,Motifs de l'état,URL finale,Impr.,CTR,Code de la devise,Coût,Niveau de qualité,CTR attendu,Pertinence de l'annonce,Convivialité de la page de dest.,Tx d'impr. sur RR,Tx impr. perdues RR (class.),Tx d'impr. perdu en haut de p. RR (class.),Tx d'impr. perdues en 1re pos. abs. sur RR (class.),Clics,Taux de conv.,Conversions,CPC moy.,Coût/conv.
Activé,[acheter abonné instagram],Mot clé exact,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[acheter followers instagram],Mot clé exact,Éligible,,,1,"0,00%",EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[abonnés instagram achat],Mot clé exact,Éligible,,,5,"40,00%",EUR,"2,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"22,22%","77,78%","83,33%",> 90 %,2,"0,00%","0,00","1,00","0,00"
Activé,[acheter follower instagram],Mot clé exact,Éligible,,,2,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,"""acheter abonnés insta""",Expression exacte,Éligible,,,2,"50,00%",EUR,"0,98",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"22,22%","77,78%","77,78%",> 90 %,1,"0,00%","0,00","0,98","0,00"
Activé,[acheter des abonnés instagram],Mot clé exact,Éligible,,,42,"19,05%",EUR,"7,89", --, --, --, --,"25,24%","74,76%","84,47%",> 90 %,8,"37,50%","3,00","0,99","2,63"
Activé,[achat abonnés instagram],Mot clé exact,Éligible,,,16,"25,00%",EUR,"3,97",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"24,44%","75,56%","84,44%",> 90 %,4,"25,00%","1,00","0,99","3,97"
Activé,[achat abonné instagram],Mot clé exact,Éligible,,,1,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"50,00%","50,00%","50,00%",> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[acheter abonnés instagram pas cher],Mot clé exact,Éligible,,,2,"0,00%",EUR,"0,00", --, --, --, --, --, --, --, --,0,"0,00%","0,00",0,"0,00"
Activé,[abonnés instagram pas cher],Mot clé exact,Éligible,,,25,"20,00%",EUR,"4,94",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"39,47%","60,53%","65,79%",> 90 %,5,"60,00%","3,00","0,99","1,65"
Activé,[achat followers instagram pas cher],Mot clé exact,Éligible,,,8,"12,50%",EUR,"1,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"80,00%","20,00%","60,00%",> 90 %,1,"0,00%","0,00","1,00","0,00"
Activé,"""achat abonnés instagram""",Expression exacte,Éligible,,,0, --,EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[acheter abonnés insta],Mot clé exact,Éligible,,,4,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"12,50%","87,50%",> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,"""acheter followers instagram""",Expression exacte,Éligible,,,7,"14,29%",EUR,"0,98", --, --, --, --,"21,21%","78,79%",> 90 %,> 90 %,1,"0,00%","0,00","0,98","0,00"
Activé,[acheter des abonnes instagram],Mot clé exact,Éligible,,,1,"100,00%",EUR,"1,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,1,"0,00%","0,00","1,00","0,00"
Activé,"""abonnés instagram pas cher""",Expression exacte,Éligible,,,4,"50,00%",EUR,"1,93",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"100,00%","0,00%","0,00%",> 90 %,2,"0,00%","0,00","0,97","0,00"
Activé,"""followers instagram pas cher""",Expression exacte,Éligible,,,1,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"50,00%","50,00%",> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[achat abonnes instagram],Mot clé exact,Éligible,,,6,"16,67%",EUR,"0,98",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,< 10 %,> 90 %,> 90 %,> 90 %,1,"300,00%","3,00","0,98","0,33"
Activé,"""acheter followers insta""",Expression exacte,Éligible,,,2,"0,00%",EUR,"0,00",5,Moyen,Inférieur à la moyenne,Moyen,"28,57%","71,43%","85,71%",> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,"""follower insta""",Expression exacte,Éligible,,,95,"16,84%",EUR,"15,87", --, --, --, --,"21,16%","78,84%","89,57%",> 90 %,16,"12,50%","2,00","0,99","7,94"
Activé,"""abonné insta""",Expression exacte,Éligible,,,58,"5,17%",EUR,"2,99",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"28,57%","71,43%","84,29%",> 90 %,3,"0,00%","0,00","1,00","0,00"
Activé,[achat followers instagram meilleur site],Mot clé exact,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[follower instagram pas cher],Mot clé exact,Éligible,,,3,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"50,00%","50,00%","50,00%",> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,"""acheter abonnés instagram""",Expression exacte,Éligible,,,80,"15,00%",EUR,"11,89",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"35,67%","64,33%","72,61%",> 90 %,12,"33,33%","4,00","0,99","2,97"
Activé,[acheter abonne instagram],Mot clé exact,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[meilleur site acheter abonnés instagram],Mot clé exact,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[payer des abonnés instagram],Mot clé exact,Éligible,,,2,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"25,00%","75,00%","75,00%",> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[achat abonnés instagram pas cher],Mot clé exact,Éligible,,,1,"0,00%",EUR,"0,00", --, --, --, --,"100,00%","0,00%","0,00%",> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,"""acheter abonné""",Expression exacte,Éligible,,,320,"11,88%",EUR,"37,37",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"36,07%","63,93%","77,41%",> 90 %,38,"15,79%","6,00","0,98","6,23"
Activé,[achat follower instagram],Mot clé exact,Éligible,,,13,"23,08%",EUR,"2,97",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"28,13%","71,88%","87,50%",> 90 %,3,"66,67%","2,00","0,99","1,49"
Activé,[followers instagram pas cher],Mot clé exact,Éligible,,,11,"27,27%",EUR,"2,88",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"28,57%","71,43%","78,57%",> 90 %,3,"33,33%","1,00","0,96","2,88"
Activé,[achat followers instagram],Mot clé exact,Éligible,,,25,"8,00%",EUR,"1,98",3,Moyen,Inférieur à la moyenne,Inférieur à la moyenne,"16,80%","83,20%","89,60%",> 90 %,2,"50,00%","1,00","0,99","1,98"
Activé,[acheter abonné insta],Mot clé exact,Éligible,,,26,"15,38%",EUR,"3,99",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"38,00%","62,00%","72,00%",> 90 %,4,"0,00%","0,00","1,00","0,00"
Activé,"""achat followers instagram""",Expression exacte,Éligible,,,15,"26,67%",EUR,"3,94",3,Moyen,Inférieur à la moyenne,Inférieur à la moyenne,"33,33%","66,67%","73,33%",> 90 %,4,"25,00%","1,00","0,99","3,94"
Activé,[abonné insta],Mot clé exact,Éligible,,,36,"11,11%",EUR,"3,97",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"52,08%","47,92%","66,67%",> 90 %,4,"100,00%","4,00","0,99","0,99"
Activé,[followers instagram acheter],Mot clé exact,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,"""achat abonné insta""",Expression exacte,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[acheter followers instagram pas cher],Mot clé exact,Éligible,,,1,"100,00%",EUR,"1,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"100,00%","0,00%","0,00%",> 90 %,1,"100,00%","1,00","1,00","1,00"
Activé,[meilleur site achat followers instagram],Mot clé exact,Éligible,,,2,"50,00%",EUR,"1,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"33,33%","66,67%","66,67%",> 90 %,1,"0,00%","0,00","1,00","0,00"
Activé,[acheter des followers instagram],Mot clé exact,Éligible,,,1,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[acheter abonnés instagram],Mot clé exact,Éligible,,,2,"0,00%",EUR,"0,00",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[abonnes instagram pas cher],Mot clé exact,Éligible,,,5,"20,00%",EUR,"0,99",6,Supérieur à la moyenne,Inférieur à la moyenne,Moyen,"100,00%","0,00%","50,00%",> 90 %,1,"100,00%","1,00","0,99","0,99"
Activé,[acheter des followers insta],Mot clé exact,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
Activé,[acheter abonnes instagram],Mot clé exact,Éligible,,,0, --,EUR,"0,00", --, --, --, --,< 10 %,> 90 %,> 90 %,> 90 %,0,"0,00%","0,00",0,"0,00"
 --,,"Total : Tous les mots clés, sauf ceux supprimés", --,,,825,"14,30%",EUR,"116,52", --, --, --, --,"27,20%","72,80%","83,03%",> 90 %,118,"27,97%","33,00","0,99","3,53"
,,Total : Mots clés dans votre groupe d'annonces,,,,825,"14,30%",EUR,"116,52",,,,,"27,20%","72,80%","83,03%",> 90 %,118,"27,97%","33,00","0,99","3,53"
,,Total : Vos mots clés,,,,825,"14,30%",EUR,"116,52",,,,, --, --, --, --,118,"27,97%","33,00","0,99","3,53"
,,Total : Correspondances étendues AI Max,,,,0, --,EUR,"0,00",,,,, --, --, --, --,0,"0,00%","0,00",0,"0,00"
,,Total : Correspondances de pages de destination AI Max,,,,0, --,EUR,"0,00",,,,, --, --, --, --,0,"0,00%","0,00",0,"0,00"
,,Total : Inclusions d'URL dans votre groupe d'annonces,,,,0, --,EUR,"0,00",,,,, --, --, --, --,0,"0,00%","0,00",0,"0,00"
,,Total : Groupe d'annonces,,,,825,"14,30%",EUR,"116,52",,,,,"27,20%","72,80%","83,03%",> 90 %,118,"27,97%","33,00","0,99","3,53"
