"Term","MatchType","Status","AdGroup","Clicks","Impr","Cost","ConvValue","Conv"
"avoir des abonnés instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","3","0","0","0"
"freer es followers","Requête large","Aucun","Tiktok","0","2","0","0","0"
"abo insta","Expression exacte (variante proche)","Aucun","Instagram","1","7","0,43","1","1"
"bot vue tiktok gratuit","Requête large","Aucun","Tiktok","2","14","0,95","0","0"
"achat abonnés tiktok pas cher","Mot clé exact (variante proche)","Aucun","Tiktok","2","6","1,19","0","0"
"gagner des follower instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","1","1","1,02","0","0"
"comment avoir des abonnés sur instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","6","0","0","0"
"business tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"groupe followers instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"avoir faux abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","1","1","1,05","0","0"
"tiktok followers","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"tikviral com","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonnes tiktok gratuit","Requête large","Aucun","Tiktok","1","2","0,7","0","0"
"achat followers tiktok pas cher","Expression exacte","Aucun","Tiktok","0","2","0","0","0"
"visibilité tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"promotion tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"acheter compte tiktok 10k abonnés","Expression exacte","Aucun","Tiktok","3","7","2,71","0","0"
"followers pas cher tiktok","Mot clé exact","Ajouté","Tiktok","0","3","0","0","0"
"booster un tiktok","Requête large","Aucun","Tiktok","0","1","0","0","0"
"achat abonne instagram","Mot clé exact (variante proche)","Aucun","Instagram","1","1","1,23","0","0"
"achat followers tiktok","Mot clé exact","Ajouté","Tiktok","1","21","1,88","8,99","1"
"abonnes instagram pas cher","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"zefoy followers tiktok gratuit","Requête large","Aucun","Tiktok","0","1","0","0","0"
"promotion video tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"follow 4 follow instagram","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"followers pour instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"acheter des followers sur tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"followers boost","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"application pour gagner des abonnés sur tiktok gratuit","Requête large","Aucun","Tiktok","2","5","1,14","0","0"
"booster tiktok payant","Mot clé exact (variante proche)","Aucun","Tiktok","0","1","0","0","0"
"abonner tiktok","Expression exacte (variante proche)","Aucun","Tiktok","0","2","0","0","0"
"acheter des abonnés tik tok gratuit","Expression exacte","Aucun","Tiktok","3","17","2,08","0","0"
"acheter abo tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","0","3","0","0","0"
"abonnés instagram achat","Mot clé exact (variante proche)","Aucun","Instagram","0","17","0","0","0"
"followers tiktok pas cher","Requête large","Aucun","Tiktok","0","1","0","0","0"
"boost tiktok gratuit","Requête large","Aucun","Tiktok","1","1","0,61","0","0"
"mr insta","Expression exacte (variante proche)","Aucun","Instagram","0","2","0","0","0"
"acheter abonnes tiktok","Mot clé exact (variante proche)","Aucun","Tiktok","2","6","6,51","89,98","2"
"augmenter instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok live studio","Requête large","Aucun","Tiktok","0","1","0","0","0"
"developper son audience instagram","Mot clé exact (variante proche)","Aucun","Instagram","0","1","0","0","0"
"booster instagram gratuit","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"100 abonnés instagram","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
"tiktok boost views","Requête large","Aucun","Tiktok","0","1","0","0","0"
"top followers avis","Expression exacte (variante proche)","Aucun","Instagram","0","1","0","0","0"
